epoch,generator_train_loss,critic_train_loss,ccr,precision,recall,sensibility,specifity,f1_score,jaccard_coef,dsc_coef,roc_auc,pr_auc,hausdorf_error
1,-0.13690039476790986,16.007786964441273,0.9652951262718024,0.8560346916948802,0.9071965725035165,0.9071965725035165,0.9673143534382806,0.8904741890439808,0.8039222702636065,0.8629439118726523,0.9368574311838891,0.8972106515296433,3.516138690817541
2,-0.12947245542105143,2.8454005617599982,0.9637454010719477,0.8431950795739969,0.9170773221700901,0.9170773221700901,0.9624311544951003,0.8881319059847116,0.8007551793145885,0.8608086212697835,0.939128217278904,0.894770273647072,3.5514000962574577
3,-0.14209451381262247,1.770561719095552,0.9607268577398256,0.8272671144181006,0.9276518448936031,0.9276518448936031,0.9553023567988257,0.8842346222821954,0.7952926020075409,0.8572557486851642,0.9408016199204896,0.8910680578917084,3.6223855860769154
4,-0.12653846477533315,1.2508935274241806,0.9563658248546512,0.8039812121532766,0.9368232156658339,0.9368232156658339,0.9459688215006976,0.8772378407726178,0.7852969521929536,0.8508772874020144,0.9405504875527976,0.8824788463551969,3.6825538560330293
5,-0.1404167189226522,1.2582506030410916,0.9543928279433139,0.7953551107062131,0.9398636497575591,0.9398636497575591,0.9417091150427152,0.8732529969550995,0.7793684016322335,0.847244592573021,0.939831375892722,0.8793025966476029,3.723244028991872
6,-0.13131603405073092,0.9945523918836148,0.9513581031976744,0.7812846725829508,0.9452788482070289,0.9452788482070289,0.9363588189670097,0.8667127356823835,0.7707547326097658,0.8412823078778938,0.9398759686519739,0.8744187006930078,3.7943521738446213
7,-0.13036146798691192,0.9013101880426531,0.9474507176598838,0.7642042562395259,0.9503202625753042,0.9503202625753042,0.9290786282456124,0.8582435735898252,0.758506849507576,0.8335615833656079,0.9385226242319388,0.8678410323643942,3.8441301170607836
8,-0.1366822820205193,1.1010059017639655,0.9434138808139535,0.7481931204076745,0.9539380458843801,0.9539380458843801,0.9223910584465196,0.848869678708285,0.7462139165915,0.8250160791945296,0.9368638652585837,0.8611832427489804,3.9195823999149897
9,-0.12881452464438103,0.9381129871328155,0.9391374454941861,0.7322286789072024,0.9561821958060392,0.9561821958060392,0.9159276289720265,0.8378582660751561,0.7329685797386846,0.8149777681429331,0.9347308597446345,0.8539634195054552,4.01943552784927
10,-0.13923324470396164,0.9488724460462471,0.9322773778161337,0.7104576247964365,0.9595914213313602,0.9595914213313602,0.9044210986812826,0.8238306888483597,0.7147084078443748,0.802189837275714,0.9303009373977149,0.844232624598579,4.088463276446175
11,-0.12888861244375055,0.9630604946574608,0.9293684138808139,0.6974429962604796,0.9619702493249559,0.9619702493249559,0.9007248293889277,0.8147406499384207,0.7038760717465645,0.793903104129909,0.9296178889748759,0.8386374967508848,4.1403773267153205
