epoch,generator_train_loss,critic_train_loss,ccr,precision,recall,sensibility,specifity,f1_score,jaccard_coef,dsc_coef,roc_auc,pr_auc,hausdorf_error
1,-0.11997465963487501,2.5033706531122135,0.964939702943314,0.8486280457838297,0.914021400245098,0.914021400245098,0.9654993228558487,0.8899925111687502,0.8031331644173112,0.8625048008794187,0.939240825019355,0.8964654479303944,3.533813772523173
2,-0.12085914689225036,0.9342908363837701,0.9628273187681686,0.8333422229320656,0.9280082808096863,0.9280082808096863,0.9592206961977079,0.8860595129559716,0.8019001214892834,0.8635705327412578,0.9428407646377447,0.8925759240904676,3.562848851986548
3,-0.13220568910821692,0.9626058297014082,0.9593755677688953,0.805754474793565,0.9372666766670896,0.9372666766670896,0.9515886014093339,0.8787480735315006,0.7868376255876965,0.8522540577310423,0.9435385210277327,0.8839533419637557,3.6306079254860273
4,-0.11561767621473833,0.8151002772539467,0.9539068177688953,0.781596532610974,0.945775988808622,0.945775988808622,0.9409743895970464,0.8672954454253413,0.7712364177861057,0.8418135223412414,0.9423380472436126,0.8750596091131116,3.737510979107954
5,-0.1201748615735537,0.8247186434636642,0.9533015761264535,0.7770420548232442,0.9468966537610507,0.9468966537610507,0.9389370067073882,0.8652625633274981,0.7677280084223641,0.8399602902892541,0.9416455401997732,0.8731747356999355,3.735119573565583
6,-0.10538710208682271,0.7129078369539279,0.9491954714752907,0.7609069262418454,0.9508125569085099,0.9508125569085099,0.9323882565895376,0.8556919591455233,0.7559293727028077,0.8312354604303376,0.9403901062236066,0.866521957483915,3.827714677928597
7,-0.10288843086787633,0.6817450694643058,0.9462731649709303,0.7443561105403776,0.9537614372204968,0.9537614372204968,0.9269155196012363,0.8463098755655087,0.7425513966786771,0.8226824912132078,0.938902281704882,0.8593047492197392,3.8693717491679487
8,-0.0980167311507386,0.8151272266329109,0.9426794717478197,0.7264021227601457,0.9568826128145439,0.9568826128145439,0.9211167194497489,0.8344561215659116,0.7277371589721341,0.8118762782647381,0.9374460930342476,0.851441286967242,3.9580579362682657
9,-0.08385629506854268,0.9911315008610874,0.9404245775799419,0.7159523819911119,0.957784017087377,0.957784017087377,0.9178403359539016,0.8267701048967202,0.7186708023016946,0.8048694909756147,0.9362851842840421,0.8464568163307744,3.9933372923725683
10,-0.0821341589673773,0.6398324202504251,0.9365117982376453,0.7012636316971921,0.9601617739198067,0.9601617739198067,0.9109951741289296,0.8174669689557581,0.7063365319204442,0.7963884926294353,0.933752741495849,0.8399358928112385,4.045293681288676
11,-0.06376051747953737,0.7673119674255322,0.9350381540697674,0.68905857004548,0.9618630560844141,0.9618630560844141,0.9097760211176378,0.8078401519292389,0.6957066522190662,0.7876124175727013,0.9340552745011752,0.8344783907481397,4.1130711938995
12,-0.05534293376780176,0.8415657217045883,0.9365816338117733,0.6897906559538114,0.9610949530897827,0.9610949530897827,0.9121704870271476,0.8081783602549578,0.6958984868235725,0.7879207377207987,0.9348560177069135,0.8345691741735244,4.083840025350784
13,-0.045420857412474494,0.7104684891929101,0.9386298601017442,0.690711868546149,0.9602758027478615,0.9602758027478615,0.9153118604059662,0.8091527254785464,0.6962565358644269,0.7888089962502097,0.9358836775444456,0.8347432677244797,4.037055608426944
14,-0.03119503135805006,0.6703317040069536,0.9361416129178779,0.6802129115864046,0.9614084494681072,0.9614084494681072,0.9117626147651996,0.8009371712072446,0.687056115216495,0.7813194677052091,0.9347230695648608,0.8298520742543732,4.099708467120357
15,-0.02185061409488901,0.5796638665019305,0.9360476471656977,0.6757966335402985,0.9615309810448265,0.9615309810448265,0.9117327203490312,0.7979519692225471,0.6829546471435822,0.7785980742679964,0.934635917258743,0.8276816143411929,4.089535655378592
16,-0.016815864323795615,0.6619029043653568,0.9331858080486919,0.6650568951266966,0.9628118949371836,0.9628118949371836,0.9078782701006098,0.7846037521520925,0.6735735814364063,0.7700787868556386,0.9334495004254335,0.8226970581284246,4.201928191646064
17,-0.011564962940846945,0.60654644513285,0.933140386537064,0.6638024931891781,0.9631294400036242,0.9631294400036242,0.9078942003431412,0.7879167923255599,0.6725184435217824,0.7694497269572547,0.9336073169871983,0.8222123895405113,4.212618395493792
18,-0.004273835726856411,0.48549606796208916,0.9351079896438953,0.6665488604780151,0.9620627476687629,0.9620627476687629,0.9114865754096304,0.7888258406812516,0.6743806859042252,0.7702784408070945,0.9349572744421405,0.823243730001416,4.190969874539448
19,0.002299616705964912,0.5345197953283787,0.9360362917877907,0.6688794034460654,0.9613759486653961,0.9613759486653961,0.9133173261047549,0.7899546412327335,0.6761718056636141,0.7713074868912358,0.9355982652004421,0.8241777803730177,4.1863538501911215
20,0.009100583781089102,0.5346465470728936,0.9342089275981105,0.6599073068846647,0.9618145791366621,0.9618145791366621,0.9109668072904205,0.7823708931622624,0.6680161463064092,0.7643939305107136,0.934625743767796,0.8197848559867821,4.227362720272661
21,0.018852423924904365,0.4721700157244484,0.9395334642986919,0.6734138563455938,0.9596454205619294,0.9596454205619294,0.9193172148379612,0.7921530247586289,0.6792706048745707,0.7733115946636803,0.9377600345155236,0.8258953206299898,4.130346171241761
22,0.02890570568186896,0.5225389614798032,0.9396223201308139,0.6775150160155032,0.9591216194118928,0.9591216194118928,0.9205104520405828,0.7940718504060671,0.682716175784836,0.7750608496725078,0.9383134177719308,0.8278175718801043,4.139668534658422
23,0.038887274149176365,0.4067641170090669,0.9439032976017442,0.6865131628082369,0.9570657332411454,0.9570657332411454,0.9278064484810841,0.7993632696871638,0.68966305898412,0.7798846551566702,0.9410465179640356,0.8317053430172785,4.094555687474693
24,0.04370478666447974,0.45037377006434776,0.9484312545421512,0.7014664007119851,0.9543321288240353,0.9543321288240353,0.9349916660803687,0.8098122704729779,0.7017681971975913,0.7894102558730403,0.9432490636861424,0.8383258538019359,4.0200693179311155
25,0.05525319916861398,0.4061620886159408,0.9490674395893895,0.7067217661011691,0.9530475972790157,0.9530475972790157,0.9366988690798325,0.8126995456363821,0.7058383971486306,0.7920423764871205,0.9436481894957622,0.8405044920569554,4.001111823564727
26,0.051612783949096484,0.3950813885826569,0.9523763967114826,0.7184111198038144,0.9504587867734154,0.9504587867734154,0.9422195357792365,0.8203091682480528,0.7148254131349806,0.7989795208214806,0.9451577064726332,0.8455246712907504,3.9523237931562467
