epoch,train_loss,val_loss,ccr,precision,recall,sensibility,specifity,f1_score,jaccard_coef,dsc_coef,roc_auc,pr_auc,hausdorf_error
1,0.6660178743875944,0.6052442473523757,0.7613770456025095,0.379076290411151,0.9620670582529935,0.9620670582529935,0.7154281737976962,0.4839624867598595,0.3730834982634869,0.4839624867598595,0.8387342434630942,0.6733971430781347,7.932338887408278
2,0.6034834247369033,0.5845762649003197,0.821919296727036,0.44094778658537975,0.9534919703135828,0.9534919703135828,0.7918250689633175,0.5423984332866323,0.4314701551779132,0.5403438937666073,0.8726452603562819,0.7003754009945042,6.460342847639047
3,0.585312087719257,0.5943197082070744,0.7117693351976799,0.3838237231866812,0.9792011826277852,0.9792011826277852,0.6663629418570967,0.4790309259829114,0.3780276872193966,0.4790309259829114,0.8227737182171332,0.68377016722943,7.085181808739758
4,0.5756441313486833,0.5597495261360618,0.8359747221975615,0.48739022886059863,0.9706004912005378,0.9706004912005378,0.8137545865649,0.5774888529200012,0.47714964620274863,0.5774888529200013,0.8921703965571736,0.7320452303740806,6.054896748674574
5,0.5650683723963223,0.5510482244631824,0.8342067834102747,0.46888853795097585,0.9808150643078137,0.9808150643078137,0.798477898311565,0.5750403750938213,0.46330742486858534,0.5750403750938212,0.8896327199045525,0.7266261008006871,6.1965413690730715
6,0.5562975347042084,0.5453933372217066,0.7708444306344697,0.471311991970069,0.9673229647357415,0.9673229647357415,0.7368090549646933,0.5549149969932957,0.4638798967716375,0.5549149969932957,0.8520540645949115,0.7216547288608245,6.350061627149555
7,0.5475851205679086,0.5221991328632131,0.8781049323804451,0.5543926522358594,0.9476829272636862,0.9476829272636862,0.8539195637559234,0.6525516340862866,0.5417372776411147,0.6451362746080331,0.9007863674264179,0.754451049057209,5.413133738593109
8,0.5392070036668044,0.5160051303751328,0.8870162963867188,0.5861702073523272,0.9451666819414769,0.9451666819414769,0.8734623688378909,0.6659959921155174,0.5695438588274497,0.6634732800241706,0.9093027495175986,0.7699430171071838,5.31539503602265
9,0.5334568459254044,0.5182480549111086,0.8580696799538352,0.574463049421088,0.9111160794632067,0.9111160794632067,0.8495624662797423,0.6481421099048796,0.5516377397584569,0.6334116074070415,0.8803323070715438,0.7482922912372476,5.508209269373982
10,0.5296068650025588,0.5075071997502271,0.8954756765654592,0.6012358425332144,0.9349259953667735,0.9349259953667735,0.8835027900022248,0.680239239201276,0.5760968136161203,0.669932584061863,0.9092014992979638,0.7731820363807133,5.19226004170754
11,0.5227899638506083,0.4978431971634136,0.8912103826349432,0.6101338933646635,0.9329577869532991,0.9329577869532991,0.8857313052467448,0.6834483527848256,0.589361231129458,0.6730930747123283,0.9093363666493564,0.7764819765887644,5.258891587548241
12,0.5152702258183406,0.5268032217726988,0.8494059244791666,0.5232063264594405,0.9730461020099945,0.9730461020099945,0.8303290706094246,0.6068226050811346,0.5145021895248513,0.6068226050811346,0.9016743646898546,0.7507463007487006,5.980896907338158
