image_id,ccr,precision,recall,specififty,f1_score,jaccard,dsc,roc_auc,pr_auc
benign_000068.png,0.9949951171875,0.9330900243309003,0.9659949622166247,0.9964720974983964,0.9492574257425743,0.9034157832744405,0.9492574257425742,0.9812335298575106,0.9503664678831376
benign_000064.png,0.998046875,0.9509433962264151,0.9298892988929889,0.9991931980388506,0.9402985074626865,0.8873239436619719,0.9402985074626866,0.9645412484659197,0.940996181544077
malignant_000302.png,0.9703369140625,0.9206562668101129,0.9471499723298284,0.9768989819890368,0.9337152209492634,0.8756715272448197,0.9337152209492635,0.9620244771594326,0.9397319769918456
benign_000120.png,0.9927978515625,0.8495339547270306,0.9922239502332815,0.9928212947080871,0.9153515064562411,0.843915343915344,0.9153515064562411,0.9925226224706842,0.921031540370781
benign_000114.png,0.9996337890625,0.926829268292683,0.926829268292683,0.9998164351710213,0.926829268292683,0.8636363636363636,0.926829268292683,0.9633228517318521,0.926920821027058
malignant_000304.png,0.988525390625,0.7044025157232704,1.0,0.9882028112449799,0.8265682656826568,0.7044025157232704,0.8265682656826568,0.9941014056224899,0.8522012578616351
malignant_000046.png,0.989013671875,1.0,0.05759162303664921,1.0,0.10891089108910892,0.05759162303664921,0.10891089108910891,0.5287958115183246,0.5342889755808246
benign_000126.png,0.99676513671875,0.9073634204275535,0.9646464646464646,0.9975606705028771,0.9351285189718482,0.8781609195402299,0.9351285189718482,0.9811035675746708,0.9364321886307589
benign_000095.png,0.98724365234375,0.9362157534246576,0.9732977303070761,0.989460281530735,0.954396683395156,0.912771285475793,0.954396683395156,0.9813790059189056,0.9565877965533669
benign_000026.png,0.997314453125,0.97165991902834,0.9836065573770492,0.9981827622014537,0.9775967413441955,0.9561752988047809,0.9775967413441955,0.9908946597892514,0.9781215194526945
malignant_000299.png,0.993408203125,0.9427753934191703,0.90646492434663,0.9974452321645271,0.9242636746143057,0.8591916558018253,0.9242636746143057,0.9519550782555786,0.9266953541954002
benign_000101.png,0.97100830078125,0.0,0.0,0.9761919371663497,nan,0.0,0.0,0.48809596858317483,0.002655029296875
malignant_000133.png,0.985107421875,0.9512195121951219,0.7321652065081352,0.9980750721847931,0.8274398868458274,0.7056694813027744,0.8274398868458275,0.8651201393464641,0.8482231210703786
benign_000130.png,0.9991455078125,0.9264705882352942,0.875,0.9996934771947033,0.9,0.8181818181818182,0.9,0.9373467385973515,0.9010099523207721
malignant_000045.png,0.991455078125,0.9492470719464584,0.9720159908623643,0.9937811795257295,0.9604966139954854,0.9239956568946797,0.9604966139954854,0.9828985851940469,0.9621268927325363
benign_000080.png,0.99493408203125,0.9615384615384616,0.9150805270863837,0.998407744729635,0.9377344336084021,0.882768361581921,0.9377344336084021,0.9567441359080092,0.9400795138436726
benign_000067.png,0.98663330078125,nan,0.0,1.0,nan,0.0,0.0,0.5,0.506683349609375
malignant_000146.png,0.983642578125,1.0,0.11842105263157894,1.0,0.2117647058823529,0.11842105263157894,0.21176470588235294,0.5592105263157895,0.5673892372532895
benign_000011.png,0.99249267578125,0.9609079445145019,0.892271662763466,0.9980038634900193,0.9253187613843352,0.8610169491525423,0.9253187613843351,0.9451377631267426,0.929397420826484
benign_000001.png,0.99871826171875,0.9,0.9574468085106383,0.9990765252724251,0.9278350515463918,0.8653846153846154,0.9278350515463918,0.9782616668915318,0.9289065097240691
benign_000077.png,0.9888916015625,0.7622478386167147,0.9688644688644689,0.989582017931557,0.853225806451613,0.7440225035161744,0.853225806451613,0.9792232433980129,0.8660749525687167
malignant_000296.png,0.98895263671875,nan,0.0,1.0,nan,0.0,0.0,0.5,0.505523681640625
malignant_000023.png,0.99786376953125,0.9130434782608695,0.9467213114754098,0.998636926889715,0.9295774647887324,0.868421052631579,0.9295774647887324,0.9726791191825623,0.9302791233837647
malignant_000298.png,0.94732666015625,0.5056988602279544,0.95578231292517,0.946845568313766,0.6614358571989016,0.49413833528722156,0.6614358571989015,0.951313940619468,0.7319307721234372
